topic_family,date_utc,rows_total,body_removed_count,body_deleted_count,author_deleted_count,automod_author_count,stickied_count,bot_name_heuristic_count,authors_distinct_count,authors_body_removed_count,authors_body_deleted_count,authors_author_deleted_count,authors_automod_count,authors_bot_name_heuristic_count,date,days_from_event,body_removed_rate_pct,body_deleted_rate_pct,author_deleted_rate_pct,automod_author_rate_pct,stickied_rate_pct,bot_name_heuristic_rate_pct,body_removed_rate_by_authors_pct,body_deleted_rate_by_authors_pct,author_deleted_rate_by_authors_pct,automod_author_rate_by_authors_pct,bot_name_heuristic_rate_by_authors_pct
economics_news,2022-11-30,6600,425,263,725,36,56,48,2720,1,1,1,1,12,2022-11-30,0,6.4393939393939394,3.984848484848485,10.984848484848484,0.5454545454545455,0.8484848484848486,0.7272727272727273,0.03676470588235294,0.03676470588235294,0.03676470588235294,0.03676470588235294,0.4411764705882353
economics_news,2022-12-01,6200,303,212,519,30,36,53,2640,1,1,1,1,14,2022-12-01,1,4.887096774193549,3.4193548387096775,8.370967741935484,0.4838709677419355,0.5806451612903226,0.8548387096774194,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.5303030303030304
economics_news,2022-12-02,6547,334,274,632,55,43,33,2674,1,1,1,1,12,2022-12-02,2,5.101573239651748,4.185122957079578,9.653276309760196,0.8400794256911562,0.6567893691767221,0.5040476554146938,0.037397157816005985,0.037397157816005985,0.037397157816005985,0.037397157816005985,0.44876589379207177
economics_news,2022-12-03,6123,525,327,895,43,80,43,2385,1,1,1,1,9,2022-12-03,3,8.57422831945125,5.340519353258206,14.617017801731178,0.7022701290217214,1.3065490772497141,0.7022701290217214,0.04192872117400419,0.04192872117400419,0.04192872117400419,0.04192872117400419,0.37735849056603776
economics_news,2022-12-04,6035,396,305,773,47,37,72,2633,1,1,1,1,18,2022-12-04,4,6.56172328086164,5.0538525269262635,12.808616404308202,0.7787903893951947,0.6130903065451533,1.1930405965202984,0.0379794910748196,0.0379794910748196,0.0379794910748196,0.0379794910748196,0.6836308393467527
economics_news,2022-12-05,7723,419,467,1015,41,62,54,2888,1,1,1,1,9,2022-12-05,5,5.425352842159782,6.0468729768224785,13.142561180888258,0.5308817816910527,0.8027968406059821,0.6992101514955328,0.03462603878116344,0.03462603878116344,0.03462603878116344,0.03462603878116344,0.31163434903047094
economics_news,2022-12-06,6285,448,295,797,41,36,77,2615,1,1,1,1,14,2022-12-06,6,7.128082736674622,4.6937151949085125,12.680986475735878,0.6523468575974543,0.5727923627684964,1.2251392203659508,0.03824091778202677,0.03824091778202677,0.03824091778202677,0.03824091778202677,0.5353728489483747
economics_news,2022-12-07,6521,428,230,705,50,58,49,2830,1,1,1,1,16,2022-12-07,7,6.563410519858917,3.5270664008587636,10.811225272197515,0.7667535654040791,0.8894341358687318,0.7514184940959976,0.0353356890459364,0.0353356890459364,0.0353356890459364,0.0353356890459364,0.5653710247349824
economics_news,2022-12-08,6504,416,292,734,60,55,25,2831,1,1,1,1,16,2022-12-08,8,6.396063960639606,4.4895448954489545,11.285362853628536,0.9225092250922509,0.8456334563345633,0.3843788437884379,0.035323207347227124,0.035323207347227124,0.035323207347227124,0.035323207347227124,0.565171317555634
economics_news,2022-12-09,6703,475,373,906,62,56,52,2699,1,1,1,1,11,2022-12-09,9,7.086379233179175,5.564672534685962,13.516335968969118,0.9249589735939132,0.8354468148590184,0.7757720423690885,0.037050759540570584,0.037050759540570584,0.037050759540570584,0.037050759540570584,0.4075583549462764
