topic_group,date_utc,rows_total,body_removed_count,body_deleted_count,author_deleted_count,automod_author_count,stickied_count,bot_name_heuristic_count,date,days_from_event,body_removed_rate_pct,body_deleted_rate_pct,author_deleted_rate_pct,automod_author_rate_pct,stickied_rate_pct,bot_name_heuristic_rate_pct
life_advice,2022-11-15,6758,132,280,612,7,38,114,2022-11-15,-15,1.9532406037289138,4.143237644273453,9.055933708197692,0.10358094110683633,0.5622965374371115,1.6868896123113348
life_advice,2022-11-16,6648,102,324,626,5,68,148,2022-11-16,-14,1.5342960288808665,4.873646209386282,9.416365824308063,0.07521058965102287,1.0228640192539111,2.2262334536702766
life_advice,2022-11-17,6607,106,369,571,8,54,137,2022-11-17,-13,1.6043590131678522,5.584985621310731,8.642349023762677,0.12108369910700773,0.8173149689723022,2.073558347207507
life_advice,2022-11-18,6520,154,341,662,12,39,105,2022-11-18,-12,2.3619631901840488,5.230061349693252,10.153374233128835,0.18404907975460122,0.598159509202454,1.6104294478527608
life_advice,2022-11-19,5607,111,293,490,12,53,97,2022-11-19,-11,1.9796682718031033,5.225610843588371,8.739076154806492,0.2140181915462814,0.945247012662743,1.729980381665775
life_advice,2022-11-20,6059,144,250,495,9,40,68,2022-11-20,-10,2.376629806898828,4.1260934147549095,8.169664961214721,0.14853936293117675,0.6601749463607856,1.1222974088133355
life_advice,2022-11-21,7096,200,415,719,8,51,96,2022-11-21,-9,2.818489289740699,5.8483652762119505,10.132468996617813,0.11273957158962795,0.7187147688838782,1.3528748590755355
life_advice,2022-11-22,6924,98,300,479,5,55,101,2022-11-22,-8,1.4153668399768922,4.332755632582322,6.917966493356441,0.07221259387637204,0.7943385326400925,1.4586943963027152
life_advice,2022-11-23,6077,140,289,516,12,43,93,2022-11-23,-7,2.3037683067302943,4.7556360046075365,8.491031759091657,0.19746585486259668,0.7075859799243048,1.5303603751851242
life_advice,2022-11-24,5261,82,278,437,9,52,109,2022-11-24,-6,1.558639042007223,5.28416650826839,8.306405626306786,0.1710701387568903,0.9884052461509218,2.071849458277894
life_advice,2022-11-25,5276,102,215,408,10,75,72,2022-11-25,-5,1.9332827899924183,4.0750568612585285,7.733131159969673,0.18953752843062927,1.4215314632297196,1.3646702047005308
life_advice,2022-11-26,6745,172,344,647,8,52,103,2022-11-26,-4,2.5500370644922166,5.100074128984433,9.592290585618978,0.11860637509266124,0.770941438102298,1.5270570793180134
life_advice,2022-11-27,6300,147,323,543,5,56,93,2022-11-27,-3,2.3333333333333335,5.126984126984127,8.619047619047619,0.07936507936507936,0.8888888888888888,1.4761904761904763
life_advice,2022-11-28,7038,126,271,490,12,72,101,2022-11-28,-2,1.7902813299232736,3.8505257175333902,6.962205171923842,0.17050298380221654,1.0230179028132993,1.4350667803353225
life_advice,2022-11-29,7822,153,352,610,12,50,112,2022-11-29,-1,1.9560214778828946,4.500127844541038,7.798517003323958,0.1534134492457172,0.6392227051904884,1.431858859626694
life_advice,2022-11-30,5804,99,283,466,4,49,73,2022-11-30,0,1.7057201929703651,4.875947622329428,8.0289455547898,0.06891798759476223,0.8442453480358374,1.2577532736044108
life_advice,2022-12-01,6489,172,229,504,9,57,152,2022-12-01,1,2.650639543843427,3.529049160117121,7.766990291262135,0.13869625520110956,0.8784096162736941,2.342425643396517
life_advice,2022-12-02,6960,117,409,700,11,56,130,2022-12-02,2,1.6810344827586206,5.876436781609195,10.057471264367816,0.15804597701149425,0.8045977011494253,1.8678160919540232
