file,rows_total,rows_kept,rows_removed,missing_id_rows,invalid_json_rows
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-01.ndjson,186,186,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-02.ndjson,185,185,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-03.ndjson,166,166,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-04.ndjson,161,161,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-05.ndjson,140,140,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-06.ndjson,162,162,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-07.ndjson,173,173,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-08.ndjson,284,284,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-09.ndjson,159,159,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-10.ndjson,160,160,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-11.ndjson,142,142,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-12.ndjson,176,176,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-13.ndjson,215,215,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-14.ndjson,88,88,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-15.ndjson,120,120,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-16.ndjson,137,137,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-17.ndjson,94,94,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-18.ndjson,109,109,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-19.ndjson,93,93,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-20.ndjson,103,103,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-21.ndjson,203,203,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-22.ndjson,130,130,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-23.ndjson,139,139,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-24.ndjson,184,184,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-25.ndjson,101,101,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-26.ndjson,97,97,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-27.ndjson,157,157,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-28.ndjson,74,74,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-29.ndjson,128,128,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-30.ndjson,122,122,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-03-31.ndjson,160,160,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-01.ndjson,270,270,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-02.ndjson,99,99,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-03.ndjson,113,113,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-04.ndjson,118,118,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-05.ndjson,143,143,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-06.ndjson,130,130,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-07.ndjson,166,166,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-08.ndjson,242,242,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-09.ndjson,133,133,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-10.ndjson,218,218,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-11.ndjson,163,163,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-12.ndjson,180,180,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-13.ndjson,186,186,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-14.ndjson,199,199,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-15.ndjson,125,125,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-16.ndjson,257,257,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-17.ndjson,179,179,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-18.ndjson,165,165,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-19.ndjson,145,145,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-20.ndjson,169,169,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-21.ndjson,230,230,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-22.ndjson,156,156,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-23.ndjson,112,112,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-24.ndjson,159,159,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-25.ndjson,149,149,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-26.ndjson,176,176,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-27.ndjson,133,133,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-28.ndjson,200,200,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-29.ndjson,190,190,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-04-30.ndjson,112,112,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-01.ndjson,8,8,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-02.ndjson,11,11,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-03.ndjson,36,36,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-04.ndjson,32,32,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-05.ndjson,8,8,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-06.ndjson,10,10,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-07.ndjson,15,15,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-08.ndjson,22,22,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-09.ndjson,37,37,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-10.ndjson,18,18,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-11.ndjson,40,40,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-12.ndjson,16,16,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-13.ndjson,47,47,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-14.ndjson,22,22,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-15.ndjson,56,56,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-16.ndjson,50,50,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-17.ndjson,8,8,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-18.ndjson,17,17,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-19.ndjson,5,5,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-20.ndjson,10,10,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-21.ndjson,16,16,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-22.ndjson,7,7,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-23.ndjson,10,10,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-24.ndjson,10,10,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-25.ndjson,16,16,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-26.ndjson,4,4,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-27.ndjson,22,22,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-28.ndjson,8,8,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-29.ndjson,20,20,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-11-30.ndjson,18,18,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-01.ndjson,5,5,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-02.ndjson,10,10,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-03.ndjson,11,11,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-04.ndjson,22,22,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-05.ndjson,42,42,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-06.ndjson,22,22,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-07.ndjson,11,11,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-08.ndjson,25,25,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-09.ndjson,9,9,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-10.ndjson,3,3,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-11.ndjson,7,7,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-12.ndjson,10,10,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-13.ndjson,23,23,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-14.ndjson,33,33,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-15.ndjson,52,52,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-16.ndjson,12,12,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-17.ndjson,13,13,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-18.ndjson,6,6,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-19.ndjson,19,19,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-20.ndjson,20,20,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-21.ndjson,6,6,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-22.ndjson,3,3,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-23.ndjson,15,15,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-24.ndjson,2,2,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-25.ndjson,19,19,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-26.ndjson,30,30,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-27.ndjson,48,48,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-28.ndjson,31,31,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-29.ndjson,22,22,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-30.ndjson,18,18,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2022-12-31.ndjson,7,7,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-01.ndjson,3,3,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-02.ndjson,1,1,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-03.ndjson,18,18,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-04.ndjson,13,13,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-05.ndjson,18,18,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-06.ndjson,54,54,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-07.ndjson,15,15,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-08.ndjson,12,12,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-09.ndjson,15,15,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-10.ndjson,22,22,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-11.ndjson,40,40,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-12.ndjson,18,18,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-13.ndjson,10,10,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-14.ndjson,11,11,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-15.ndjson,4,4,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-16.ndjson,6,6,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-17.ndjson,2,2,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-18.ndjson,23,23,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-19.ndjson,7,7,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-20.ndjson,19,19,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-21.ndjson,28,28,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-22.ndjson,5,5,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-23.ndjson,7,7,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-24.ndjson,17,17,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-25.ndjson,8,8,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-26.ndjson,7,7,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-27.ndjson,8,8,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-28.ndjson,3,3,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-29.ndjson,1,1,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-30.ndjson,3,3,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-01-31.ndjson,5,5,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-01.ndjson,13,13,0,0,0
